c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71
2,0,0,0,3,0,0,0,1,1,1,1,5,6,15,9,14,10,3,1,3,3,7,1,1,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,1,0,1,0,1,1,1,7,5,7,20,11,16,2,1,3,6,3,6,0,0,0,1,0,1,0,1,0,0,1,0
0,1,1,0,1,0,1,0,1,0,0,1,7,8,14,10,17,13,3,5,3,0,2,4,1,0,1,0,0,0,0,1,0,3,1,3,2,0,0,0,0,0,0,0,1,1,1,2,7,5,8,10,18,12,3,1,4,2,6,4,1,0,0,0,1,1,0,0,0,3,0,0
0,0,0,0,1,1,1,2,0,0,1,0,20,12,14,7,19,9,6,2,4,2,5,4,1,0,0,0,0,1,0,1,0,3,1,0,0,1,1,1,0,1,0,0,0,2,0,0,6,5,5,15,23,35,0,2,4,10,4,9,0,1,0,1,0,0,0,0,1,0,3,1
0,1,0,2,0,2,1,1,0,0,1,2,10,17,13,7,21,7,2,6,2,3,3,4,0,1,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,1,0,1,11,8,10,19,19,15,6,1,1,4,4,3,1,0,0,0,0,0,0,1,1,3,1,1
0,1,0,1,0,1,1,1,1,1,0,1,19,7,10,11,7,8,4,3,3,6,2,4,0,1,0,1,0,1,0,0,0,0,3,0,2,0,0,0,1,0,1,0,1,0,1,2,7,9,9,16,25,15,5,1,2,2,12,3,1,0,0,0,1,1,0,0,0,3,0,0
0,0,0,2,0,2,0,1,2,1,0,1,16,9,10,7,6,15,2,4,4,5,1,5,0,1,0,1,0,1,0,0,0,0,3,0,1,1,2,3,1,1,0,0,1,1,0,1,12,17,23,14,8,12,7,2,6,6,5,7,0,0,1,1,0,0,0,1,0,0,1,3
1,0,0,1,0,0,3,0,0,1,1,0,14,4,13,16,17,11,8,2,4,5,6,2,1,0,0,0,1,0,0,0,1,3,0,1,0,0,1,2,0,0,1,0,0,0,0,0,9,6,9,5,19,14,3,1,4,3,5,4,0,0,1,1,0,0,0,1,0,0,1,3
1,0,0,1,1,0,1,0,2,4,0,1,8,23,12,30,5,8,3,4,4,14,2,4,0,0,1,1,1,0,0,0,0,0,0,3,1,1,1,1,2,0,1,1,1,3,0,1,16,15,8,14,9,10,5,3,4,8,4,3,0,0,1,1,0,0,0,1,0,0,1,3
1,3,1,0,1,0,2,4,4,0,1,0,15,20,25,6,5,5,10,11,9,0,1,0,1,1,1,0,0,0,0,0,0,3,3,3,1,1,0,1,0,0,4,0,0,1,2,0,30,9,11,8,11,13,14,6,2,3,2,4,1,0,0,0,1,0,0,0,1,3,0,1
3,0,0,1,0,0,1,1,0,0,0,0,14,18,26,12,5,4,6,6,8,7,1,0,1,1,0,0,0,0,0,0,1,3,3,1,0,0,0,0,2,1,0,0,0,1,2,4,10,6,5,7,18,25,0,1,0,3,7,9,0,0,0,1,1,1,0,0,0,0,0,0
0,1,1,1,0,0,2,1,1,0,0,0,17,25,16,4,9,7,5,12,6,2,1,3,1,1,1,0,0,0,0,0,0,3,3,3,0,3,2,0,0,0,0,1,1,1,0,2,13,14,15,11,6,10,4,7,5,3,1,4,0,1,1,1,0,0,0,0,0,0,3,3
0,0,0,0,0,0,0,0,2,1,0,1,7,19,15,18,8,9,1,4,3,5,1,2,0,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,3,1,0,1,7,9,16,7,5,0,2,2,8,3,3,0,0,0,1,1,0,0,0,1,0,0,1
0,0,0,0,1,0,1,1,0,0,0,0,12,20,5,12,8,9,5,5,3,5,6,2,1,0,0,0,0,0,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1,0,4,6,4,17,9,26,2,1,0,5,4,8,0,0,0,1,1,0,0,0,1,0,0,1
0,2,0,2,1,1,2,0,0,0,0,0,19,14,14,6,15,13,9,5,3,2,5,4,0,1,0,0,0,1,1,0,0,1,3,0,0,0,0,2,0,1,0,1,0,0,1,3,16,13,7,9,12,16,2,6,3,3,3,7,0,0,0,1,0,1,0,1,0,0,1,0
2,0,1,0,0,2,0,1,1,0,1,1,9,11,12,16,5,23,3,3,7,2,1,6,1,0,0,0,0,1,0,1,0,3,1,0,2,0,3,1,0,0,1,1,3,1,0,0,15,17,28,6,4,7,5,6,10,4,2,1,1,1,1,0,0,0,0,0,0,3,3,3
0,0,1,0,0,1,3,0,0,0,0,0,16,19,35,1,6,5,8,5,9,0,1,4,1,0,0,0,0,0,0,1,1,3,1,1,1,0,1,0,1,0,0,1,0,1,1,0,6,21,13,7,17,14,1,3,4,2,6,3,0,0,1,0,1,0,1,0,0,1,0,3
0,2,1,0,0,0,1,2,3,0,0,0,11,18,16,13,6,7,3,7,7,4,1,3,1,1,1,0,0,0,0,0,0,3,3,3,0,1,0,0,0,0,0,1,0,1,2,1,12,19,17,12,12,7,5,5,5,5,2,3,0,0,0,1,0,1,0,1,0,0,1,0
1,2,0,2,1,0,1,0,0,1,1,0,6,9,6,15,15,9,4,4,1,5,3,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,2,0,2,0,1,0,2,0,0,0,18,15,7,7,14,13,5,5,4,1,5,2,1,0,1,0,1,0,0,0,0,3,0,3
0,0,0,1,1,3,0,2,0,0,0,3,13,11,7,6,9,28,0,2,1,2,6,10,0,1,0,1,0,1,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,2,1,0,6,8,9,19,20,6,2,6,1,9,5,1,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,1,0,0,1,1,1,0,1,0,7,12,7,6,13,17,2,3,3,1,6,5,0,0,1,0,0,0,1,1,0,1,1,3,1,1,0,0,3,1,0,1,1,0,4,1,6,5,13,13,20,14,2,1,4,0,11,3,1,0,0,0,1,1,0,0,0,3,0,0
0,0,0,2,2,0,1,0,1,2,1,0,6,16,9,15,7,6,1,2,4,7,5,1,0,0,1,1,1,0,0,0,0,0,0,3,1,1,0,1,0,0,1,1,0,1,1,0,14,11,8,11,19,19,4,6,1,7,4,4,0,1,0,0,0,0,1,0,1,1,3,1
2,0,2,2,2,1,0,2,0,0,0,0,16,19,14,8,6,15,7,9,5,5,2,5,0,0,1,0,0,0,1,1,0,1,1,3,2,1,1,1,0,3,0,0,1,1,0,4,13,6,5,9,13,20,6,2,1,3,0,11,0,1,0,0,0,1,1,0,0,1,3,0
2,0,0,0,0,0,1,3,0,0,0,0,21,16,19,5,1,6,8,8,5,0,0,1,1,1,0,0,0,0,0,0,1,3,3,1,3,0,1,0,0,2,1,1,0,0,0,0,11,18,15,7,7,14,7,5,5,2,1,5,1,1,0,0,0,1,0,0,0,3,3,0
2,0,2,1,0,0,2,1,2,0,0,0,16,11,18,12,13,6,7,3,7,5,4,1,1,1,1,0,0,0,0,0,0,3,3,3,1,2,0,0,0,1,0,1,0,0,0,1,5,7,9,12,16,25,2,5,1,2,2,12,1,1,0,0,0,1,0,0,0,3,3,0
0,0,1,0,0,1,0,1,0,1,0,0,16,7,8,16,10,17,4,3,5,6,0,2,0,1,0,1,0,0,0,0,1,0,3,1,0,1,1,0,1,2,2,1,1,3,3,0,11,16,15,10,14,9,3,5,3,5,8,4,0,0,0,1,1,0,0,0,1,0,0,1
0,0,1,1,1,0,0,1,1,0,1,0,12,19,7,5,11,7,2,4,3,2,6,2,0,0,1,1,1,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,1,1,16,7,5,16,10,18,6,3,1,4,2,6,1,1,0,0,0,1,0,0,0,3,3,0
0,3,0,0,1,0,1,1,1,0,0,0,12,14,18,11,12,5,2,6,6,3,7,1,1,1,1,0,0,0,0,0,0,3,3,3,0,0,0,1,0,0,0,0,1,0,1,1,9,7,5,7,20,11,3,2,1,3,6,3,0,0,0,1,1,0,0,0,1,0,0,1
2,0,0,0,0,1,0,1,1,0,0,0,16,12,20,13,12,8,7,5,5,1,5,6,1,1,0,0,0,0,0,0,1,3,3,1,0,1,1,1,1,0,1,4,0,2,1,2,6,30,9,9,8,11,3,14,6,5,3,2,0,1,0,1,0,1,0,0,0,0,3,0
1,2,0,0,0,3,0,0,0,0,1,1,7,5,6,9,9,14,3,3,1,3,3,7,1,1,0,0,0,1,0,0,0,3,3,0,1,2,0,0,1,0,1,1,1,0,1,0,12,15,17,2,6,4,4,5,6,0,4,2,1,1,1,0,0,0,0,0,0,3,3,3
0,0,0,0,0,1,0,1,2,1,0,1,13,20,12,5,7,19,3,6,2,1,2,5,0,1,0,1,0,0,0,0,1,0,3,1,2,0,0,2,2,0,0,0,1,0,0,1,8,16,13,16,9,12,5,2,6,7,3,3,0,0,0,0,1,0,1,0,1,1,0,1
1,0,0,2,1,0,1,1,1,0,0,1,9,7,12,13,6,13,3,2,3,6,1,6,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,1,1,2,11,10,6,12,7,18,3,0,1,2,3,7,0,0,0,1,1,1,0,0,0,0,0,0
0,2,0,1,0,0,0,0,1,1,0,1,2,9,11,12,16,5,0,3,3,4,2,1,0,1,0,1,0,0,0,0,1,0,3,1,0,0,3,2,0,0,0,0,1,0,1,0,14,13,14,14,11,6,4,4,7,5,3,1,0,0,1,1,1,0,0,0,0,0,0,3
1,0,0,0,1,1,1,0,2,0,0,0,17,13,11,10,6,9,7,0,2,6,2,6,1,0,1,0,1,0,0,0,0,3,0,3,0,0,0,0,2,0,0,1,0,1,0,0,10,9,6,18,5,19,2,3,1,8,3,5,0,0,0,1,1,0,0,0,1,0,0,1
0,1,2,3,2,1,0,1,0,1,1,1,7,6,9,11,15,15,2,4,4,7,5,3,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,1,2,1,2,12,12,19,16,12,12,5,5,5,7,5,2,0,0,0,1,1,0,0,0,1,0,0,1
2,0,1,0,1,0,0,2,1,0,0,0,14,17,25,14,4,9,5,5,12,4,2,1,1,1,1,0,0,0,0,0,0,3,3,3,0,0,0,2,0,1,0,0,0,2,3,1,20,1,7,11,16,7,3,0,2,5,8,3,0,0,0,1,1,1,0,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,1,0,11,7,19,20,18,8,5,1,4,3,5,1,1,0,0,0,1,0,0,0,1,3,0,1,0,0,1,0,1,0,1,0,0,0,2,0,5,6,5,13,15,23,1,0,2,3,10,4,1,0,1,0,1,0,0,0,0,3,0,3
0,1,0,0,1,0,1,3,0,0,1,1,18,14,4,10,16,17,8,8,2,2,5,6,1,1,0,0,0,1,0,0,0,3,3,0,0,1,0,2,0,0,0,0,0,0,2,1,13,4,6,16,17,9,1,2,1,7,5,4,0,0,0,1,1,1,0,0,0,0,0,0
0,1,0,0,1,1,3,1,0,2,4,0,10,8,23,11,30,5,5,3,4,3,14,2,1,0,0,0,1,1,0,0,0,3,0,0,0,2,1,1,0,0,0,0,0,1,2,1,10,6,8,17,19,20,6,2,6,7,9,5,0,0,0,1,0,0,0,1,1,0,1,1
1,1,3,0,0,1,2,2,4,1,0,1,9,15,20,6,6,5,5,10,11,3,0,1,1,1,1,0,0,0,0,0,0,3,3,3,0,1,0,2,0,1,0,0,1,1,1,1,5,6,21,21,7,17,0,1,3,8,2,6,0,0,0,1,0,1,0,1,0,0,1,0
1,0,1,1,2,0,1,1,1,1,0,1,11,10,17,14,7,21,7,2,6,4,3,3,0,0,1,0,1,0,1,0,0,1,0,3,2,1,1,0,3,1,2,0,0,1,1,0,15,12,17,6,14,8,7,7,2,1,6,5,1,0,0,0,1,0,0,0,1,3,0,1
1,2,0,0,0,1,4,0,2,0,0,0,21,14,17,7,14,4,7,5,5,2,4,2,1,1,1,0,0,0,0,0,0,3,3,3,3,0,0,0,0,2,1,0,1,2,1,0,15,10,9,12,18,5,7,2,3,3,8,3,1,0,0,0,1,1,0,0,0,3,0,0
